Comment,Description,Designator,Footprint,LibRef,Quantity

"C1206C104K3RACTU","CAP CER 0.1UF 25V 10% X7R 1206","C1, C2, C5, C6, C7, C8, C9, C10, C11, C12","FP-C1206C-EB-MFG","CMP-00100-1","10"
"T491A106K010AT","Capacitor, Tantalum, 10 uF, +/- 10%, 10 V, -55 to 125 degC, 2-Pin SMD (1206), RoHS, Tape and Reel","C3, C4","KEMT-A-3216-18-2_M","CMP-2000-05172-1","2"
"BZY55B3V3_RBG","Diode","D1, D2, D3","BZY55B3V3RBG","BZY55B3V3_RBG","3"
"150120GS75000","LED GREEN CLEAR 1206 SMD","D4","FP-150120GS75000-MFG","CMP-1426-00014-2","1"
"150120BS75000","SMD mono-color Chip LED, WL-SMCW, Blue","D5","1206_A","CMP-1426-00015-1","1"
"503763-0491","Connector","J1","5037630491","503763-0491","1"
"S2B-PH-SM4-TB(LF)(SN)","Connector Header Surface Mount, Right Angle 2 position 0.079 (2.00mm)","J2, J4","JST_S2B-PH-SM4-TB(LF)(SN)","CMP-064-000001-2","2"
"40 Pin Header (2.54mm)","WR-PHD Straight Male, PCB Header, Through Hole, 2 Rows, 40 Contacts, 2.54mm Pitch","J3","61304021121","CMP-00112-1","1"
"WSL0805R0500FEA","","R1, R2","RESC2013X46X38ML25T25","CMP-2001-04327-1","2"
"CRCW080510K0FKEA","RES Thick Film, 10kO, 1%, 0.125W, 100ppm/°C, 0805","R3, R5, R6","FP-CRCW0805-e3-IPC_A","CMP-2001-04908-2","3"
"ERJ-6ENF1502V","RES SMD 15K OHM 1% 1/8W 0805","R4","FP-ERJ6EN-IPC_C","CMP-2001-04439-3","1"
"ERJ-14NF1001U","Res Thick Film 1210 1K Ohm 1% 1/2W ±100ppm/°C Molded SMD Embossed Carrier T/R","R7","RESC3225X70X50LL20T20","CMP-00078-1","1"
"CRGH0805F787R","Resistor","R8, R9","RESC2013X65N","CRGH0805F787R","2"
"ERJ-6RBD2000V","Resistor","R10, R11","RESC2012X70N","ERJ-6RBD2000V","2"
"JS102000SAQN","Slide Switch, Js Series, SPDT, Right Angle, SMD, 1 ma Rohs Compliant: Yes","SW1","FP-JS102000SAQN-MFG","CMP-00098-1","1"
"TB6612FNG","Driver IC for Dual DC Motor, 15 V, -20 to 85 degC, 24-Pin SSOP, RoHS, Tape and Reel","U1, U2","TOSH-SSOP-24_M","CMP-1773-00001-1","2"
"AD8544ARZ","Operational Amplifier, Quad, 1 Mhz, 4, 0.92 V/ S, 2.7V To 5.5V, Soic, 14 Rohs Compliant: Yes","U3","ADI-R-14_M","CMP-00114-1","1"
"MCP3004-I/SL","4-Channel Single ADC SAR 200ksps 10-bit Serial Automotive 14-Pin SOIC N Tube","U4","SOIC-SL14_L","CMP-014-000002-1","1"
